Delhi,Timestamp
1422.33,2024-02-01 01:15:00
1417.91,2024-02-01 01:30:00
1516.96,2024-02-01 01:45:00
1522.76,2024-02-01 02:00:00
1442.1,2024-02-01 02:15:00
1617.82,2024-02-01 02:30:00
1597.57,2024-02-01 02:45:00
1519.1,2024-02-01 03:00:00
1490.88,2024-02-01 03:15:00
1495.89,2024-02-01 03:30:00
1519.66,2024-02-01 03:45:00
1569.71,2024-02-01 04:00:00
1680.35,2024-02-01 04:15:00
1676.44,2024-02-01 04:30:00
1822.2,2024-02-01 04:45:00
1825.77,2024-02-01 05:00:00
1977.62,2024-02-01 05:15:00
2107.25,2024-02-01 05:30:00
2326.74,2024-02-01 05:45:00
2792.58,2024-02-01 06:00:00
3033.35,2024-02-01 06:15:00
3133.78,2024-02-01 06:30:00
3379.27,2024-02-01 06:45:00
3895.65,2024-02-01 07:00:00
4100.66,2024-02-01 07:15:00
4268.42,2024-02-01 07:30:00
4320.75,2024-02-01 07:45:00
4252.1,2024-02-01 08:00:00
4473.42,2024-02-01 08:15:00
4050.38,2024-02-01 08:30:00
3859.97,2024-02-01 08:45:00
3587.6,2024-02-01 09:00:00
3220.14,2024-02-01 09:15:00
2998.94,2024-02-01 09:30:00
2445.19,2024-02-01 09:45:00
2094.1,2024-02-01 10:00:00
1849.83,2024-02-01 10:15:00
1608.46,2024-02-01 10:30:00
1220.35,2024-02-01 10:45:00
1096.99,2024-02-01 11:00:00
964.83,2024-02-01 11:15:00
892.5,2024-02-01 11:30:00
805.19,2024-02-01 11:45:00
747.47,2024-02-01 12:00:00
713.64,2024-02-01 12:15:00
684.68,2024-02-01 12:30:00
665.57,2024-02-01 12:45:00
696.9,2024-02-01 13:00:00
704.03,2024-02-01 13:15:00
737.77,2024-02-01 13:30:00
741.38,2024-02-01 13:45:00
835.45,2024-02-01 14:00:00
862.62,2024-02-01 14:15:00
979.28,2024-02-01 14:30:00
1076.05,2024-02-01 14:45:00
1224.61,2024-02-01 15:00:00
1352.23,2024-02-01 15:15:00
1624.86,2024-02-01 15:30:00
1791.77,2024-02-01 15:45:00
2063.44,2024-02-01 16:00:00
2361.04,2024-02-01 16:15:00
2755.8,2024-02-01 16:30:00
2895.36,2024-02-01 16:45:00
3320.29,2024-02-01 17:00:00
3636.5,2024-02-01 17:15:00
4151.7,2024-02-01 17:30:00
4555.37,2024-02-01 17:45:00
4571.03,2024-02-01 18:00:00
5130.34,2024-02-01 18:15:00
4898.38,2024-02-01 18:30:00
5174.99,2024-02-01 18:45:00
5113.54,2024-02-01 19:00:00
5306.03,2024-02-01 19:15:00
5164.16,2024-02-01 19:30:00
4815.18,2024-02-01 19:45:00
4595.97,2024-02-01 20:00:00
4395.85,2024-02-01 20:15:00
4315.29,2024-02-01 20:30:00
3689.75,2024-02-01 20:45:00
3654.35,2024-02-01 21:00:00
3039.87,2024-02-01 21:15:00
2692.65,2024-02-01 21:30:00
2385.71,2024-02-01 21:45:00
2072.2,2024-02-01 22:00:00
1860.2,2024-02-01 22:15:00
1611.08,2024-02-01 22:30:00
1434.91,2024-02-01 22:45:00
1324.99,2024-02-01 23:00:00
1147.71,2024-02-01 23:15:00
1006.1,2024-02-01 23:30:00
866.45,2024-02-01 23:45:00
1133.83,2022-03-01 00:00:00
1157.39,2022-03-01 00:15:00
1233.09,2022-03-01 00:30:00
1193.6,2022-03-01 00:45:00
1250.64,2022-03-01 01:00:00
1323.43,2022-03-01 01:15:00
1342.39,2022-03-01 01:30:00
1253.3,2022-03-01 01:45:00
1319.12,2022-03-01 02:00:00
1408.48,2022-03-01 02:15:00
